# Constructed from biom file
OTU ID	sample-3	sample-20	sample-18	sample-8	sample-11	sample-14	sample-2	sample-22	sample-27	sample-25	sample-10	sample-26	sample-17	sample-29	sample-28	sample-13	sample-9	sample-15	sample-16	sample-12	sample-1	sample-5	sample-23	sample-21	sample-4	sample-19	sample-7	sample-6	sample-24
4dae363346904fdc9a16c9a811780400	46.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
24a4c1e6c27166652779c3fbc675aff1	45.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	117.0	61.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0
ba65c9ef550be77d67bafe8e26b3babb	37.0	0.0	0.0	0.0	326.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	1.0	47.0	19.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0
48492f10c405d3dca5bf8127be8d0d3c	34.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	578.0	1.0	0.0	0.0	0.0	0.0	1250.0	0.0	0.0	0.0	1771.0	1059.0	0.0	0.0	0.0	0.0	750.0	0.0	0.0
79a1cfb67858e1725f0eda37a7190c3e	34.0	0.0	0.0	1.0	0.0	0.0	160.0	0.0	0.0	1426.0	0.0	0.0	0.0	0.0	2464.0	8.0	2.0	0.0	9.0	0.0	60.0	37.0	839.0	238.0	0.0	0.0	64.0	0.0	0.0
4b2978d19b93f567c6b65526f995c654	28.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	51.0	1.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	2.0	0.0	33.0	0.0	229.0	150.0	0.0	0.0	0.0	0.0	0.0
84fa1f358bde7f96c329638d2d559c44	27.0	14.0	41.0	0.0	16.0	0.0	0.0	8.0	0.0	0.0	0.0	51.0	0.0	68.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	217.0	0.0	0.0	0.0	0.0	15.0	0.0	27.0
cea2caa1e63b25b42bd8df42bfdd212b	23.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	15.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0
7e6b5fd01c0fa3e2d135947f763a863e	21.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	51.0	3.0	0.0	46.0	0.0	0.0	2.0	0.0	0.0
0b123280cef13c03256f5007c71dc4ed	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	19.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
ac1d21845c345d63fe6ea39372a2d86f	20.0	0.0	0.0	0.0	5.0	0.0	8.0	0.0	0.0	66.0	0.0	0.0	2.0	0.0	61.0	0.0	9.0	0.0	0.0	0.0	48.0	2.0	44.0	479.0	11.0	142.0	28.0	0.0	0.0
62a4a5bfe65337b67952dd08c0c53f43	18.0	0.0	0.0	0.0	31.0	0.0	21.0	0.0	0.0	17.0	330.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	10.0	20.0	21.0	57.0	0.0	0.0	231.0	0.0	0.0
0922cc78ef91d1861328686c72eade94	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
