# Constructed from biom file
OTU ID	sample-67	sample-13	sample-2	sample-14	sample-51	sample-57	sample-50	sample-28	sample-5	sample-29	sample-53	sample-9	sample-54	sample-44	sample-55	sample-17	sample-24	sample-8	sample-66	sample-40	sample-42	sample-21	sample-10	sample-15	sample-33	sample-61	sample-27	sample-62	sample-46	sample-68	sample-49	sample-60	sample-30	sample-31	sample-45	sample-38	sample-6	sample-25	sample-22	sample-41	sample-63	sample-12	sample-32	sample-16	sample-3	sample-48	sample-34	sample-35	sample-36	sample-7	sample-18	sample-56	sample-11	sample-1	sample-65	sample-20	sample-23	sample-39	sample-64	sample-58	sample-47	sample-43	sample-52	sample-19	sample-4	sample-59	sample-26	sample-37
d60554a53608ff06a1bbf76df61b2742	1260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	80.0	0.0	0.0	0.0	28.0	0.0	540.0	247.0	0.0	0.0	0.0	1540.0	4.0	259.0	0.0	0.0	947.0	0.0	309.0	990.0	679.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	17.0	60.0	0.0	0.0	565.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	661.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	243.0	15.0	471.0
d35c283a1870a7f51cc479bddc412bf5	1229.0	0.0	0.0	0.0	0.0	0.0	244.0	0.0	316.0	0.0	0.0	0.0	0.0	398.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0
2b66f8f90f9426fb3f4cfdc23cc69097	1213.0	1869.0	477.0	697.0	939.0	1168.0	1191.0	206.0	2469.0	1628.0	24.0	23.0	341.0	5735.0	1373.0	1302.0	4.0	10.0	97.0	560.0	1806.0	339.0	55.0	73.0	67.0	264.0	102.0	0.0	2813.0	2195.0	125.0	195.0	20.0	17.0	2335.0	10.0	631.0	23.0	287.0	6.0	54.0	631.0	248.0	537.0	27.0	71.0	130.0	192.0	182.0	78.0	69.0	4.0	78.0	479.0	728.0	5.0	2.0	48.0	217.0	64.0	59.0	19.0	27.0	0.0	10.0	122.0	94.0	5886.0
a8e1ef9994102a5ab4f9bc7bcb90a657	1107.0	25.0	6.0	0.0	2866.0	521.0	194.0	1045.0	0.0	57.0	0.0	2.0	0.0	0.0	992.0	5.0	0.0	0.0	24.0	78.0	827.0	3.0	16.0	0.0	0.0	212.0	30.0	2.0	2961.0	325.0	197.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	438.0	734.0	3.0	0.0	903.0	654.0	40.0	92.0	3908.0	1.0	61.0	3.0	0.0	4.0	64.0	0.0	2860.0	5.0	12.0	0.0	2.0	0.0	561.0	326.0	2523.0	314.0	104.0	191.0	257.0	554.0
9f03b0e06817a45b2fbd4ed1164bddad	1062.0	2391.0	1526.0	3005.0	3281.0	501.0	242.0	1256.0	1264.0	573.0	1173.0	4110.0	1460.0	318.0	2596.0	384.0	133.0	2148.0	3959.0	1569.0	160.0	262.0	178.0	1687.0	992.0	391.0	1303.0	2068.0	894.0	4147.0	311.0	2332.0	701.0	7481.0	141.0	2685.0	241.0	3008.0	165.0	1208.0	4327.0	132.0	3694.0	1708.0	178.0	2990.0	1786.0	1510.0	268.0	1415.0	4447.0	19.0	1297.0	403.0	2431.0	943.0	3163.0	4439.0	611.0	570.0	382.0	704.0	3692.0	256.0	2128.0	328.0	1370.0	3244.0
bae33cde25a754c45f2c02a4ef82cecb	1037.0	99.0	241.0	394.0	398.0	175.0	81.0	509.0	0.0	111.0	65.0	0.0	317.0	0.0	160.0	22.0	534.0	283.0	308.0	28.0	69.0	147.0	41.0	125.0	149.0	494.0	37.0	161.0	232.0	201.0	122.0	431.0	53.0	1042.0	143.0	0.0	0.0	11.0	277.0	537.0	106.0	0.0	59.0	599.0	6.0	323.0	240.0	714.0	0.0	227.0	13.0	0.0	59.0	0.0	59.0	546.0	108.0	1867.0	487.0	245.0	56.0	227.0	67.0	257.0	95.0	140.0	233.0	711.0
aec2edc73502cc4ad354a09d2ee52132	1008.0	0.0	96.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2083.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0
6d8d9da9588255716d55f5ae1a312157	956.0	421.0	317.0	1395.0	2878.0	906.0	1388.0	1127.0	231.0	1122.0	2216.0	310.0	1814.0	4.0	4047.0	409.0	1169.0	2221.0	438.0	1936.0	333.0	352.0	286.0	694.0	191.0	835.0	728.0	657.0	1290.0	1923.0	499.0	2990.0	973.0	0.0	1266.0	981.0	405.0	131.0	90.0	137.0	755.0	97.0	1080.0	573.0	169.0	687.0	790.0	1994.0	756.0	1166.0	130.0	9.0	678.0	101.0	0.0	2347.0	1288.0	4524.0	743.0	1317.0	119.0	1878.0	325.0	911.0	680.0	16.0	369.0	2899.0
797dd2df0af053fac37c0ce810844720	932.0	302.0	0.0	2159.0	739.0	549.0	798.0	263.0	59.0	765.0	155.0	0.0	1776.0	0.0	0.0	1700.0	1358.0	0.0	9.0	259.0	58.0	70.0	508.0	75.0	21.0	535.0	0.0	1991.0	236.0	463.0	0.0	261.0	85.0	0.0	1719.0	0.0	280.0	45.0	184.0	22.0	2405.0	652.0	477.0	3219.0	30.0	0.0	1248.0	810.0	729.0	385.0	286.0	19.0	0.0	138.0	82.0	2522.0	2215.0	0.0	313.0	446.0	380.0	812.0	477.0	0.0	912.0	279.0	766.0	629.0
4df5e576a4052baa18f2ddf2b9df4942	900.0	11717.0	6587.0	7.0	582.0	2575.0	627.0	13.0	3.0	4603.0	8912.0	3632.0	12073.0	21.0	10.0	147.0	5.0	6.0	3202.0	4175.0	1613.0	5.0	2960.0	8.0	366.0	7323.0	7.0	10.0	8.0	17469.0	686.0	3547.0	4071.0	6486.0	1604.0	2369.0	10894.0	3026.0	114.0	3019.0	5194.0	10226.0	10625.0	331.0	159.0	4.0	353.0	2135.0	4910.0	3291.0	12571.0	20.0	0.0	12885.0	6.0	5.0	903.0	8.0	11077.0	430.0	5098.0	4309.0	8241.0	6.0	5155.0	1594.0	183.0	4442.0
