# Constructed from biom file
OTU ID	sample-129	sample-90	sample-42	sample-62	sample-21	sample-110	sample-112	sample-133	sample-11	sample-45	sample-17	sample-136	sample-124	sample-82	sample-103	sample-111	sample-35	sample-13	sample-50	sample-119	sample-115	sample-150	sample-51	sample-59	sample-125	sample-6	sample-64	sample-120	sample-38	sample-81	sample-128	sample-99	sample-105	sample-14	sample-93	sample-9	sample-87	sample-94	sample-121	sample-135	sample-30	sample-16	sample-60	sample-141	sample-73	sample-70	sample-109	sample-137	sample-118	sample-106	sample-40	sample-53	sample-24	sample-7	sample-138	sample-144	sample-96	sample-146	sample-41	sample-83	sample-77	sample-61	sample-72	sample-92	sample-68	sample-33	sample-113	sample-19	sample-5	sample-32	sample-123	sample-104	sample-134	sample-12	sample-10	sample-36	sample-56	sample-29	sample-43	sample-126	sample-26	sample-127	sample-98	sample-122	sample-44	sample-142	sample-140	sample-107	sample-147	sample-37	sample-15	sample-86	sample-67	sample-116	sample-27	sample-74	sample-76	sample-71	sample-145	sample-20	sample-130	sample-108	sample-22	sample-57	sample-1	sample-25	sample-84	sample-2	sample-63	sample-28	sample-69	sample-48	sample-65	sample-34	sample-8	sample-78	sample-31	sample-149	sample-132	sample-4	sample-97	sample-139	sample-3	sample-75	sample-47	sample-80	sample-102	sample-39	sample-18	sample-66	sample-46	sample-100	sample-55	sample-95	sample-23	sample-58	sample-89	sample-131	sample-117	sample-54	sample-88	sample-49	sample-85	sample-114	sample-91	sample-101	sample-79	sample-52	sample-143	sample-148
2a4a31068babe96ff8c522a6a9db7f90	162.0	12.0	8.0	15.0	44.0	0.0	14.0	14.0	3.0	4.0	0.0	102.0	0.0	12.0	58.0	14.0	3.0	0.0	0.0	0.0	40.0	7.0	20.0	2.0	161.0	0.0	0.0	35.0	38.0	48.0	0.0	2.0	53.0	0.0	88.0	0.0	31.0	50.0	35.0	0.0	15.0	2.0	0.0	37.0	4.0	7.0	49.0	0.0	62.0	53.0	20.0	3.0	0.0	2.0	71.0	25.0	8.0	5.0	64.0	15.0	0.0	6.0	29.0	21.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	8.0	37.0	0.0	0.0	11.0	122.0	3.0	6.0	0.0	15.0	7.0	7.0	24.0	3.0	8.0	14.0	4.0	0.0	19.0	0.0	69.0	14.0	0.0	15.0	4.0	0.0	4.0	0.0	15.0	6.0	43.0	4.0	0.0	0.0	22.0	2.0	0.0	0.0	2.0	0.0	0.0	48.0	0.0	0.0	28.0	19.0	0.0	14.0	67.0	38.0	0.0	27.0	24.0	0.0	55.0	0.0	4.0	12.0	0.0	43.0	12.0	3.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	9.0	7.0
871eda385377e205e5355c1357e6dbfd	158.0	0.0	0.0	35.0	15.0	0.0	39.0	2.0	0.0	0.0	0.0	0.0	44.0	43.0	232.0	39.0	65.0	0.0	33.0	1.0	0.0	0.0	72.0	0.0	0.0	0.0	1.0	65.0	0.0	19.0	4.0	19.0	17.0	0.0	0.0	44.0	1.0	0.0	65.0	2.0	0.0	3.0	416.0	5.0	0.0	0.0	40.0	0.0	395.0	17.0	42.0	0.0	0.0	21.0	16.0	19.0	147.0	10.0	0.0	151.0	14.0	0.0	214.0	83.0	27.0	0.0	2.0	18.0	49.0	0.0	0.0	0.0	0.0	0.0	8.0	65.0	0.0	0.0	0.0	17.0	0.0	4.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	10.0	28.0	0.0	0.0	40.0	43.0	16.0	47.0	0.0	0.0	0.0	58.0	0.0	72.0	0.0	24.0	74.0	151.0	22.0	15.0	43.0	0.0	0.0	0.0	0.0	44.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	15.0	36.0	200.0	0.0	33.0	14.0	0.0	123.0	8.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	8.0	33.0	0.0	20.0	31.0	0.0	0.0	0.0	9.0	0.0
034d6a9c45507895e0b9e3bfa77e4649	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	14.0	0.0	16.0	0.0	0.0	0.0	0.0	2.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	3.0	4.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	14.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	6.0	0.0	0.0	4.0	10.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	2.0	12.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	9.0	2.0	0.0	13.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	199.0	0.0	0.0	2.0	0.0
a184d8d73355ba27e32415a0fc85a053	104.0	0.0	81.0	0.0	28.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	45.0	0.0	215.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	14.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0	6.0	0.0	10.0	23.0	0.0	0.0	102.0	0.0	17.0	0.0	22.0	0.0	0.0	103.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	29.0	0.0	2.0	0.0	20.0	261.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	359.0	0.0	170.0	5.0	0.0	277.0	261.0	0.0	0.0	0.0	0.0	33.0	2.0	0.0	0.0	126.0	214.0	2.0	0.0	91.0	0.0	15.0	7.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	19.0	0.0	94.0
837e0c7bfb75142dada82918051785f2	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67fbf8985aa55c291933006d69724ba9	100.0	8.0	3.0	0.0	0.0	41.0	0.0	0.0	0.0	405.0	0.0	0.0	56.0	12.0	29.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	3.0	0.0	0.0	0.0	0.0	13.0	0.0	5.0	32.0	22.0	0.0	0.0	2.0	3.0	0.0	39.0	0.0	0.0	0.0	2.0	0.0	0.0	15.0	0.0	8.0	0.0	2.0	10.0	14.0	0.0	0.0	63.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	1.0	4.0	6.0	0.0	0.0	0.0	7.0	51.0	0.0	5.0	8.0	0.0	4.0	0.0	5.0	0.0	31.0	0.0	665.0	11.0	102.0	51.0	0.0	0.0	0.0	24.0	0.0	14.0	0.0	5.0	0.0	0.0	41.0	8.0	0.0	0.0	0.0	0.0	5.0	79.0	10.0	7.0	0.0	31.0	0.0	0.0	0.0	7.0	39.0	0.0	0.0	6.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
4b01201248e6d0cfee175a03b5f3cce4	97.0	8.0	86.0	274.0	13.0	2.0	41.0	31.0	64.0	10.0	67.0	74.0	22.0	54.0	8.0	41.0	71.0	58.0	0.0	21.0	21.0	70.0	210.0	97.0	106.0	336.0	418.0	24.0	13.0	12.0	21.0	9.0	109.0	23.0	9.0	23.0	8.0	8.0	24.0	33.0	145.0	11.0	2.0	12.0	29.0	224.0	28.0	0.0	68.0	109.0	15.0	9.0	2.0	28.0	24.0	131.0	8.0	16.0	28.0	61.0	39.0	2.0	16.0	306.0	12.0	38.0	4.0	88.0	47.0	15.0	14.0	102.0	92.0	58.0	3.0	71.0	44.0	2.0	86.0	56.0	63.0	21.0	13.0	266.0	83.0	0.0	6.0	5.0	28.0	202.0	14.0	2.0	83.0	52.0	20.0	47.0	9.0	0.0	25.0	11.0	15.0	5.0	11.0	44.0	15.0	71.0	61.0	13.0	71.0	20.0	211.0	42.0	0.0	6.0	23.0	384.0	28.0	6.0	17.0	0.0	0.0	6.0	21.0	9.0	9.0	10.0	83.0	13.0	68.0	16.0	30.0	31.0	0.0	42.0	11.0	69.0	23.0	88.0	34.0	9.0	30.0	0.0	27.0	195.0	2.0	5.0	384.0	54.0	14.0	28.0
a8b537ef60318c57db45afdfd8c00590	88.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	4.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	42.0	0.0	0.0	0.0	1.0	0.0	2.0	9.0	23.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	9.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
ccadd3715a005e3bef5cd5dd3d314005	84.0	0.0	65.0	0.0	0.0	0.0	3.0	0.0	13.0	0.0	0.0	5.0	7.0	0.0	15.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	5.0	0.0	0.0	16.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
692275d172d402aca9b4849a7246a0df	82.0	0.0	94.0	139.0	18.0	247.0	271.0	152.0	16.0	286.0	131.0	82.0	15.0	178.0	8.0	271.0	69.0	25.0	6.0	3.0	85.0	6.0	43.0	27.0	65.0	119.0	319.0	76.0	90.0	15.0	422.0	9.0	299.0	9.0	64.0	35.0	14.0	90.0	76.0	3.0	149.0	37.0	4.0	64.0	0.0	277.0	96.0	69.0	32.0	299.0	0.0	73.0	46.0	69.0	125.0	24.0	9.0	134.0	2.0	19.0	108.0	12.0	378.0	211.0	17.0	112.0	40.0	10.0	136.0	50.0	74.0	1098.0	0.0	25.0	4.0	69.0	23.0	201.0	94.0	128.0	5.0	422.0	0.0	14.0	25.0	4.0	33.0	134.0	143.0	91.0	28.0	5.0	0.0	106.0	12.0	70.0	12.0	5.0	42.0	61.0	154.0	134.0	18.0	23.0	28.0	4.0	19.0	98.0	0.0	12.0	0.0	17.0	18.0	153.0	35.0	0.0	18.0	152.0	10.0	32.0	43.0	33.0	20.0	12.0	37.0	21.0	0.0	90.0	84.0	11.0	6.0	12.0	67.0	227.0	18.0	3416.0	4.0	0.0	83.0	73.0	290.0	6.0	0.0	5.0	10.0	22.0	0.0	17.0	49.0	143.0
